full_name,first_name,last_name,middle_name,nickname,suffix,other_names_end,other_names_middle,other_names_last,birthday,gender,id_bioguide,id_govtrack,id_icpsr,id_wikipedia,id_wikidata,id_google_entity_id,id_house_history,id_thomas,id_cspan,id_votesmart,id_lis,id_ballotpedia,id_opensecrets,id_fec_0,id_fec_1,id_fec_2
"Robert Perkins Letcher",Robert,Letcher,Perkins,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,L000257,406760,5622,"Robert P. Letcher",Q359430,kg:/m/0g7pwb,16912,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"James Love",James,Love,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,L000455,406945,5791,"James Love (representative)",Q1657385,kg:/m/02rt37m,17162,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Chittenden Lyon",Chittenden,Lyon,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,L000541,407025,5863,"Chittenden Lyon",Q1074964,kg:/m/02qll8c,17268,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Robert Todd Lytle",Robert,Lytle,Todd,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,L000546,407030,5868,"Robert Todd Lytle",Q2159000,kg:/m/05fv7g,17274,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Joel Keith Mann",Joel,Mann,Keith,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,M000107,407131,5961,"Joel Keith Mann",Q6213632,kg:/m/026wmyj,17463,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Samuel Wright Mardis",Samuel,Mardis,Wright,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,M000128,407152,5980,"Samuel Wright Mardis",Q2218989,kg:/m/0f800c,17486,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Thomas Alexander Marshall",Thomas,Marshall,Alexander,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,M000161,407183,6007,"Thomas Alexander Marshall",Q1629877,kg:/m/02rjzm7,17522,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Henry Clinton Martindale",Henry,Martindale,Clinton,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,M000204,407224,6044,"Henry C. Martindale",Q1606569,kg:/m/02rkqcw,17574,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Rufus McIntire",Rufus,McIntire,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,M000479,407476,6277,"Rufus McIntire",Q2174793,kg:/m/02rxbpw,17924,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Samuel McKean",Samuel,McKean,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,M000492,407487,6286,"Samuel McKean",Q1286009,kg:/m/08nng2,17942,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Charles McVean",Charles,McVean,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,M000607,407596,6388,"Charles McVean",Q2947714,kg:/m/02rkn77,18086,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Phineas Miner",Phineas,Miner,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,M000793,407771,6546,"Phineas Miner",Q2088359,kg:/m/02pz5ts,18321,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Henry Mitchell",Henry,Mitchell,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,M000813,407788,6560,"Henry Mitchell (U.S. politician)",Q13219140,kg:/m/02r3sjp,18349,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Robert Mitchell",Robert,Mitchell,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,M000827,407802,6573,"Robert Mitchell (congressman)",Q13219455,kg:/m/03cw0ns,18368,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Samuel McDowell Moore",Samuel,Moore,McDowell,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,M000917,407889,6651,"Samuel M. Moore",Q138200,kg:/m/03c2_lg,18482,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"John Jordan Morgan",John,Morgan,Jordan,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,M000953,407921,6681,"John J. Morgan",Q93384,kg:/m/02rksgt,18525,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Thomas Morris",Thomas,Morris,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,M000989,407957,6716,"Thomas Morris (Ohio politician)",Q1395876,kg:/m/0355_1,NULL,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"John Murphy",John,Murphy,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,M001097,408061,6812,"John Murphy (Alabama)",Q767891,kg:/m/03g3fx,18698,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Arnold Naudain",Arnold,Naudain,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,N000010,408104,6846,"Arnold Naudain",Q695839,kg:/m/0623xc,NULL,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Gayton Pickman Osgood",Gayton,Osgood,Pickman,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,O000115,408371,7096,"Gayton P. Osgood",Q1496594,kg:/m/0ks47x,19208,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Job Pierson",Job,Pierson,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,P000343,408740,7445,"Job Pierson",Q1530579,kg:/m/02rkryz,19703,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Franklin E. Plummer",Franklin,Plummer,E.,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,P000397,412088,7497,"Franklin E. Plummer",Q1445213,kg:/m/02rtngn,19769,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Patrick Hamilton Pope",Patrick,Pope,Hamilton,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,P000433,408824,7527,"Patrick H. Pope",Q1672710,kg:/m/02rjxwx,19819,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Alexander Porter",Alexander,Porter,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,P000436,408827,7530,"Alexander Porter",Q166016,kg:/m/0d3g7j,NULL,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"John Randolph",John,Randolph,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,R000047,409028,7723,"John Randolph of Roanoke",Q2341317,kg:/m/01v3cf,20136,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Asher Robbins",Asher,Robbins,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,R000297,409269,7940,"Asher Robbins",Q725105,kg:/m/0d1ytm,NULL,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Dudley Selden",Dudley,Selden,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,S000233,412095,8354,"Dudley Selden",Q336857,kg:/m/02rkrt4,21424,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Ether Shepley",Ether,Shepley,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,S000334,409831,8443,"Ether Shepley",Q1371192,kg:/m/04ggph,NULL,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Thomas Day Singleton",Thomas,Singleton,Day,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,S000446,412096,NULL,"Thomas D. Singleton",Q2423319,kg:/m/02w14gt,21694,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Charles Slade",Charles,Slade,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,S000474,412097,8565,"Charles Slade",Q4120841,kg:/m/02rk95w,21730,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Nathan Smith",Nathan,Smith,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,S000594,410074,8670,"Nathan Smith (senator)",Q1769220,kg:/m/0bf9j1,NULL,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Andrew Stevenson",Andrew,Stevenson,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,S000891,410352,8919,"Andrew Stevenson",Q344157,kg:/m/03clmf,22242,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"John Truman Stoddert",John,Stoddert,Truman,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,S000944,410403,8967,"John Truman Stoddert",Q2757548,kg:/m/0dz311,22305,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Benjamin Swift",Benjamin,Swift,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,S001116,410568,9124,"Benjamin Swift",Q817701,kg:/m/09l6t_,22517,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"William Penn Taylor",William,Taylor,Penn,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,T000105,412111,9236,"William P. Taylor",Q225991,kg:/m/027y450,22762,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Philemon Thomas",Philemon,Thomas,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,T000181,410762,9306,"Philemon Thomas",Q1415721,kg:/m/0ddqnx,22853,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Christopher Tompkins",Christopher,Tompkins,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,T000304,410877,9415,"Christopher Tompkins",Q571953,kg:/m/02qlrv5,23002,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Samuel Tweedy",Samuel,Tweedy,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,T000442,411010,9535,"Samuel Tweedy",Q1489804,kg:/m/02pz4y7,23176,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Isaac B. Van Houten",Isaac,"Van Houten",B.,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,V000046,411090,9622,"Isaac B. Van Houten",Q194767,kg:/m/02rlcgt,20931,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"John Goddard Watmough",John,Watmough,Goddard,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,W000195,411366,9868,"John Goddard Watmough",Q6235573,kg:/m/026wn5f,23447,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Reuben Whallon",Reuben,Whallon,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,W000321,411483,9976,"Reuben Whallon",Q2514343,kg:/m/02rkvxd,23599,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Frederick Whittlesey",Frederick,Whittlesey,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,W000432,411591,10079,"Frederick Whittlesey",Q5499034,kg:/m/02rkpj0,23728,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Richard Henry Wilde",Richard,Wilde,Henry,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,W000460,411617,10105,"Richard Henry Wilde",Q1693934,kg:/m/027904r,23765,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Edgar Campbell Wilson",Edgar,Wilson,Campbell,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,W000574,411729,10214,"Edgar C. Wilson",Q1283830,kg:/m/03c2_mv,23897,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Ebenezer Young",Ebenezer,Young,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,Y000034,411966,10438,"Ebenezer Young",Q1278684,kg:/m/02pyycw,21072,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Benjamin Watkins Leigh",Benjamin,Leigh,Watkins,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,L000232,406735,5597,"Benjamin W. Leigh",Q817727,kg:/m/08kmbs,NULL,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Chilton Allan",Chilton,Allan,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,A000108,400766,95,"Chilton Allan",Q1073044,kg:/m/02qlk9d,8408,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Joseph Biles Anthony",Joseph,Anthony,Biles,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,A000263,400901,213,"Joseph Biles Anthony",Q6281528,kg:/m/026fx68,8631,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Michael Woolston Ash",Michael,Ash,Woolston,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,A000305,400947,257,"Michael Woolston Ash",Q6835447,kg:/m/0273xf0,8683,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"William Henry Ashley",William,Ashley,Henry,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,A000315,400960,268,"William Henry Ashley",Q1345876,kg:/m/05m0q2,8696,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Jeremiah Bailey",Jeremiah,Bailey,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,B000040,401045,343,"Jeremiah Bailey",Q609481,kg:/m/02x3mjm,8825,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"John Banks",John,Banks,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,B000114,401115,407,"John Banks (U.S. politician)",Q6220546,kg:/m/026vh3b,8918,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Samuel Barton",Samuel,Barton,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,B000215,401212,497,"Samuel Barton (New York)",Q194792,kg:/m/03cp92l,9051,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Benning Moulton Bean",Benning,Bean,Moulton,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,B000277,401271,551,"Benning M. Bean",Q817891,kg:/m/02rhct3,9134,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Andrew Beaumont",Andrew,Beaumont,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,B000286,401280,558,"Andrew Beaumont",Q4756307,kg:/m/027bpdj,9145,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Abraham Bockee",Abraham,Bockee,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,B000581,401552,814,"Abraham Bockee",Q774493,kg:/m/02rklrg,9528,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Matthias Jacob Bovee",Matthias,Bovee,Jacob,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,B000675,401637,890,"Matthias J. Bovee",Q2947782,kg:/m/02rktpw,9658,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Bedford Brown",Bedford,Brown,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,B000903,401860,1098,"Bedford Brown",Q4879111,kg:/m/02klqp,NULL,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"John W. Brown",John,Brown,W.,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,B000932,401886,1122,"John W. Brown (New York politician)",Q895760,kg:/m/0c_fvn,9982,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Samuel Bunch",Samuel,Bunch,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,B001058,402005,1236,"Samuel Bunch",Q145829,kg:/m/0cgllc,10138,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Robert Burns",Robert,Burns,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,B001129,402073,1298,"Robert Burns (representative)",Q2156654,kg:/m/02rr6kv,10228,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Robert Blair Campbell",Robert,Campbell,Blair,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,C000098,412025,1463,"Robert B. Campbell",Q1394430,kg:/m/02x3_w4,10566,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"George Chambers",George,Chambers,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,C000283,402426,1628,"George Chambers (Pennsylvania)",Q5537795,kg:/m/026vln5,10809,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Graham Hurd Chapin",Graham,Chapin,Hurd,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,C000306,402448,1649,"Graham H. Chapin",Q5592873,kg:/m/02rkq2l,10839,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"William Chetwood",William,Chetwood,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,C000349,402488,1687,"William Chetwood",Q2578259,kg:/m/02z9ylx,10890,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Nathaniel Herbert Claiborne",Nathaniel,Claiborne,Herbert,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,C000405,402544,1738,"Nathaniel Claiborne",Q1335077,kg:/m/054cck,10959,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"William Clark",William,Clark,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,C000453,402591,1784,"William Clark (congressman)",Q8006832,kg:/m/06rhjm,11016,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"John Coffee",John,Coffee,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,C000583,402712,1898,"John E. Coffee",Q1699876,kg:/m/0f6_1w,11180,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"John Cramer",John,Cramer,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,C000867,402982,2142,"John Cramer (representative)",Q2039933,kg:/m/03cf7rv,11540,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Joseph Halsey Crane",Joseph,Crane,Halsey,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,C000872,402986,2145,"Joseph Halsey Crane",Q6283745,kg:/m/0d67x6,11546,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Warren Ransom Davis",Warren,Davis,Ransom,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,D000142,403275,2417,"Warren R. Davis",Q2549773,kg:/m/029mhx,12008,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Harmar Denny",Harmar,Denny,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,D000248,403386,2506,"Harmar Denny",Q5659066,kg:/m/0f6rwf,12137,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"David Dickson",David,Dickson,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,D000328,412034,2578,"David Dickson (politician)",Q1174227,kg:/m/02x3_nm,12236,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Ulysses Freeman Doubleday",Ulysses,Doubleday,Freeman,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,D000444,403554,2681,"Ulysses F. Doubleday",Q7880915,kg:/m/02rkxgz,12386,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"William Claiborne Dunlap",William,Dunlap,Claiborne,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,D000544,403652,2769,"William Claiborne Dunlap",Q1273922,kg:/m/0cgln2,12504,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Valentine Efner",Valentine,Efner,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,E000086,403779,2878,"Valentine Efner",Q1287744,kg:/m/02rkxhn,12704,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"William Lee Davidson Ewing",William,Ewing,"Lee Davidson","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,E000283,403961,3043,"William Lee D. Ewing",Q734659,kg:/m/0854cw,NULL,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Dudley Farlin",Dudley,Farlin,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,F000022,403984,3063,"Dudley Farlin",Q2514208,kg:/m/02rknv4,12991,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"John B. Forester",John,Forester,B.,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,F000273,412037,3276,"John B. Forester",Q1699203,kg:/m/0cgllq,13319,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Samuel Fowler",Samuel,Fowler,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,F000327,404275,3328,"Samuel Fowler (1779���184",Q2218248,kg:/m/02697_4,13383,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Philo Case Fuller",Philo,Fuller,Case,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,F000411,404353,3398,"Philo C. Fuller",Q7186008,kg:/m/02rkvqx,13490,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"William Kendall Fuller",William,Fuller,Kendall,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,F000415,404357,3402,"William K. Fuller",Q13219107,kg:/m/02rky5b,13494,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Ransom Hooker Gillet",Ransom,Gillet,Hooker,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,G000200,404564,3598,"Ransom H. Gillet",Q2688816,kg:/m/02rkvtn,13818,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Robert Henry Goldsborough",Robert,Goldsborough,Henry,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,G000264,404626,3655,"Robert Henry Goldsborough",Q433676,kg:/m/05rzxw,NULL,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"William John Grayson",William,Grayson,John,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,G000404,404754,3772,"William J. Grayson",Q2579438,kg:/m/02ry1wh,14075,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Joseph Hall",Joseph,Hall,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,H000056,404941,3943,"Joseph Hall (Maine)",Q1270780,kg:/m/02w_7dp,14356,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Gideon Hard",Gideon,Hard,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,H000180,405061,4048,"Gideon Hard",Q5559590,kg:/m/02rkp_h,14508,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Benjamin Hardin",Benjamin,Hardin,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,H000184,405065,4052,"Benjamin Hardin",Q817528,kg:/m/02rsp2q,14514,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"James Harper",James,Harper,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,H000221,405099,4086,"James Harper (congressman)",Q6135595,kg:/m/026y9yc,14561,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Samuel Smith Harrison",Samuel,Harrison,Smith,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,H000276,405151,4135,"Samuel Smith Harrison",Q7412666,kg:/m/0277hlh,14624,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Albert Gallatin Hawes",Albert,Hawes,Gallatin,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,H000360,405229,4205,"Albert Gallatin Hawes",Q2638001,kg:/m/02vl9f4,14724,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Abner Hazeltine",Abner,Hazeltine,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,H000416,405282,4254,"Abner Hazeltine",Q4668137,kg:/m/02rklqs,14794,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Joseph Henderson",Joseph,Henderson,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,H000486,405349,4313,"Joseph Henderson (Pennsylvania)",Q6283888,kg:/m/027412n,14883,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"William Hiester",William,Hiester,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,H000575,405437,4395,"William Hiester (Pennsylvania)",Q17305547,kg:/m/010x5h4z,14996,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Samuel Hoar",Samuel,Hoar,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,H000656,405511,4464,"Samuel Hoar",Q1170879,kg:/m/02cnb2,15097,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Elias Howell",Elias,Howell,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,H000861,405708,4647,"Elias Howell",Q5360523,kg:/m/0cvhss,15350,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Henry Hubbard",Henry,Hubbard,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,H000883,405729,4667,"Henry Hubbard",Q433146,kg:/m/08654t,15376,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Abel Huntington",Abel,Huntington,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,H000994,405834,4765,"Abel Huntington",Q74349,kg:/m/02rklpr,15506,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Adam Huntsman",Adam,Huntsman,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,H001000,405840,4771,"Adam Huntsman",Q349808,kg:/m/0cglpg,15515,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"William Jackson",William,Jackson,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,J000028,405934,4865,"William Jackson (Massachusetts)",Q2579480,kg:/m/08628z,15724,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
"Henry Fisk Janes",Henry,Janes,Fisk,"Not Given","Not Given","Not Given","Not Given","Not Given",NULL,Male,J000056,405961,4890,"Henry Fisk Janes",Q1606736,kg:/m/02rhhdz,15760,NULL,NULL,NULL,"Not Given","Not Given",,,"Not Given","Not Given"
